ADD R4, R2
LOAD R7, 79
LOAD R7, 39
DIV R9, R4
MUL R2, R3
MUL R4, R2
MUL R8, R10
STORE R7, 227
LOAD R10, 127
DIV R6, R1
STORE R4, 66
SUB R2, R5
LOAD R8, 120
LOAD R1, 90
SUB R8, R6
SUB R4, R3
SUB R9, R8
ADD R8, R9
LOAD R10, 28
ADD R10, R5
STORE R2, 48
DIV R1, R9
DIV R3, R4
LOAD R3, 200
ADD R1, R2
ADD R3, R2
LOAD R8, 159
SUB R2, R10
LOAD R2, 193
MUL R10, R8
SUB R8, R2
DIV R5, R9
STORE R1, 160
STORE R4, 188
STORE R5, 44
LOAD R8, 119
LOAD R10, 19
STORE R8, 38
LOAD R9, 233
LOAD R8, 212
STORE R9, 13
STORE R3, 68
MUL R6, R3
LOAD R8, 146
SUB R7, R10
STORE R9, 109
ADD R1, R9
MUL R2, R4
SUB R9, R10
MUL R3, R5
